patient_id,split
12681,train
13125,train
29707,train
24851,train
12409,train
21447,train
19589,train
6113,train
11943,train
1434,train
20161,train
26129,train
6893,train
15710,train
6435,train
17689,train
28918,train
23376,train
15547,train
17534,train
2880,train
25035,train
16424,train
9155,train
9292,train
14477,train
27519,train
24123,train
30410,train
12625,train
14561,train
29579,train
18562,train
19781,train
21425,train
22492,train
6499,train
22954,train
27376,train
28420,train
17934,train
8858,train
737,train
22677,train
16823,train
4541,train
29027,train
997,train
29048,train
2169,train
5355,train
1248,train
3830,train
8333,train
24020,train
23177,train
13805,train
21186,train
274,train
14738,train
21061,train
8979,train
7965,train
1787,train
7780,train
27485,train
29068,train
1661,train
29418,train
27071,train
4085,train
6866,train
21806,train
14965,train
25269,train
2130,train
4703,train
19483,train
18397,train
8142,train
24733,train
9647,train
24747,train
27087,train
19470,train
8896,train
17113,train
12643,train
26619,train
1044,train
28450,train
24004,train
18904,train
2141,train
13968,train
19906,train
23876,train
11193,train
29748,train
3821,train
28878,train
17815,train
24776,train
2679,train
14981,train
27546,train
25958,train
19795,train
19380,train
3929,train
23392,train
18748,train
14519,train
30403,train
7221,train
23179,train
16854,train
16091,train
12595,train
6742,train
5139,train
4420,train
20503,train
20037,train
429,train
5216,train
19279,train
14625,train
27141,train
27865,train
7925,train
21409,train
17090,train
13229,train
24515,train
18057,train
25707,train
30331,train
16931,train
13960,train
29595,train
16975,train
26068,train
9527,train
6864,train
12059,train
24889,train
11450,train
28433,train
10317,train
14580,train
2533,train
19519,train
9211,train
6030,train
11503,train
7469,train
24392,train
9949,train
9210,train
16075,train
28525,train
25864,train
3586,train
5680,train
2799,train
17982,train
20972,train
17449,train
1617,train
24340,train
17467,train
12050,train
22742,train
5750,train
8597,train
11353,train
3046,train
12236,train
29193,train
13939,train
9170,train
13813,train
3449,train
1531,train
16452,train
26227,train
5227,train
13742,train
22792,train
18535,train
424,train
29019,train
11795,train
3519,train
5039,train
1488,train
14885,train
6146,train
2035,train
7110,train
27559,train
4344,train
4811,train
211,train
6803,train
22835,train
23859,train
14613,train
3054,train
19888,train
3800,train
14463,train
22825,train
16915,train
26623,train
21274,train
26232,train
25376,train
24233,train
7654,train
26325,train
27913,train
4637,train
9021,train
15510,train
2407,train
18572,train
3526,train
7651,train
23586,train
26868,train
4121,train
23901,train
7923,train
26047,train
16048,train
23245,train
17826,train
25429,train
3844,train
15548,train
19392,train
23335,train
11968,train
5158,train
9442,train
3097,train
19238,train
458,train
22537,train
26449,train
1711,train
15692,train
10245,train
9723,train
12826,train
9300,train
13726,train
3790,train
17307,train
21381,train
4708,train
18141,train
23658,train
13371,train
9633,train
6454,train
30171,train
8915,train
28058,train
8920,train
12136,train
8697,train
4878,train
7429,train
14908,train
22369,train
11918,train
3691,train
4342,train
9249,train
16671,train
27566,train
20384,train
24264,train
20938,train
8395,train
30201,train
7105,train
3106,train
14056,train
18150,train
1093,train
17820,train
12609,train
4414,train
16486,train
9072,train
16131,train
14116,train
22944,train
4904,train
15984,train
15362,train
23374,train
16802,train
19593,train
16145,train
16732,train
17993,train
1279,train
18333,train
10766,train
2731,train
9052,train
7709,train
18014,train
12620,train
24463,train
897,train
4820,train
24833,train
27658,train
15146,train
25844,train
20991,train
20870,train
6825,train
29607,train
5223,train
1611,train
4772,train
22695,train
2908,train
21721,train
9094,train
17674,train
11808,train
11809,train
7786,train
24758,train
8460,train
14682,train
3456,train
7485,train
25257,train
12990,train
21460,train
4789,train
17378,train
25798,train
25685,train
492,train
15061,train
18858,train
7919,train
18928,train
19272,train
8137,train
3508,train
27764,train
26540,train
25736,train
97,train
23660,train
7516,train
11457,train
27408,train
6900,train
24808,train
4116,train
11005,train
13022,train
10027,train
23328,train
14262,train
11645,train
23505,train
5035,train
1589,train
7666,train
26667,train
21184,train
7428,train
22299,train
10720,train
21050,train
19249,train
16745,train
16355,train
1091,train
19425,train
17596,train
8517,train
1228,train
21323,train
4217,train
18205,train
23444,train
15610,train
16011,train
20632,train
12536,train
12984,train
27168,train
21781,train
18833,train
6789,train
2716,train
28664,train
21985,train
1993,train
1504,train
28223,train
10782,train
7476,train
16482,train
2458,train
11399,train
14953,train
9630,train
2572,train
26094,train
6129,train
13409,train
22156,train
24840,train
24066,train
24401,train
14013,train
13848,train
25858,train
23745,train
5385,train
7887,train
734,train
27309,train
22008,train
30176,train
28134,train
21383,train
17937,train
6814,train
11492,train
10242,train
12221,train
19787,train
15239,train
20474,train
15487,train
1890,train
9195,train
2565,train
23962,train
14096,train
16704,train
21160,train
25232,train
11451,train
11489,train
30041,train
5467,train
18422,train
12114,train
12587,train
13431,train
6310,train
30315,train
18824,train
23857,train
5562,train
25187,train
24420,train
23199,train
12957,train
22879,train
22095,train
21212,train
29033,train
929,train
26927,train
5686,train
12203,train
13679,train
29013,train
27131,train
14536,train
1256,train
13195,train
18392,train
24207,train
4048,train
17316,train
17582,train
10464,train
10769,train
25307,train
5217,train
10232,train
29299,train
15693,train
8973,train
11828,train
25355,train
28139,train
29047,train
13915,train
25168,train
13345,train
25693,train
21025,train
25816,train
22175,train
3411,train
11177,train
14182,train
822,train
15713,train
28998,train
30141,train
10631,train
6353,train
26750,train
18308,train
19387,train
28095,train
26991,train
8673,train
14164,train
22408,train
11944,train
17386,train
27451,train
2719,train
20797,train
15941,train
16144,train
6073,train
16961,train
20709,train
6429,train
6139,train
9007,train
25348,train
11238,train
19911,train
22952,train
24968,train
16362,train
25800,train
13956,train
5415,train
22750,train
21083,train
3663,train
21329,train
22472,train
20197,train
21695,train
280,train
25470,train
24790,train
5602,train
6873,train
8375,train
21490,train
22407,train
3640,train
10510,train
14407,train
8766,train
14751,train
13085,train
27139,train
28352,train
17760,train
24741,train
7568,train
17830,train
9566,train
25915,train
16330,train
9363,train
23351,train
3875,train
24344,train
27874,train
18085,train
19468,train
24220,train
2768,train
28463,train
14294,train
21503,train
25440,train
1924,train
27558,train
26143,train
12464,train
23413,train
23030,train
18119,train
17924,train
30704,train
15698,train
5534,train
18718,train
16648,train
15430,train
4750,train
5698,train
6292,train
13812,train
13849,train
29543,train
8479,train
11728,train
18809,train
17721,train
13621,train
2394,train
3069,train
251,train
23338,train
22033,train
23180,train
16894,train
17935,train
26378,train
18875,train
27892,train
27091,train
13189,train
8159,train
4286,train
3247,train
13552,train
26588,train
8204,train
11637,train
26278,train
18389,train
8073,train
23902,train
25284,train
2321,train
17180,train
4458,train
21513,train
24829,train
18529,train
25814,train
625,train
21100,train
23375,train
17478,train
2143,train
2869,train
218,train
30168,train
22914,train
19898,train
18553,train
18503,train
14432,train
5557,train
7768,train
30216,train
16544,train
8688,train
27165,train
24308,train
6040,train
22152,train
14411,train
13711,train
26239,train
29456,train
28279,train
27577,train
12725,train
17874,train
2498,train
22306,train
3024,train
16420,train
12833,train
20743,train
26199,train
20140,train
28136,train
23539,train
5954,train
1413,train
2230,train
11178,train
26531,train
9367,train
21144,train
25705,train
15269,train
2508,train
18360,train
18235,train
26419,train
12533,train
17735,train
11434,train
28171,train
24854,train
21671,train
14870,train
14812,train
25107,train
26528,train
4247,train
5514,train
28127,train
17971,train
21799,train
13421,train
7956,train
22971,train
29558,train
8095,train
8980,train
4236,train
29477,train
18026,train
15724,train
22921,train
25325,train
14695,train
4274,train
5747,train
21338,train
8652,train
6188,train
8611,train
18660,train
10399,train
2267,train
9154,train
30442,train
1427,train
13119,train
21760,train
2326,train
16684,train
12918,train
2875,train
20123,train
14527,train
5713,train
13134,train
28341,train
14066,train
12462,train
4763,train
24887,train
16093,train
4597,train
25370,train
26113,train
6203,train
26729,train
10931,train
12267,train
215,train
18600,train
17606,train
6282,train
8282,train
3859,train
16000,train
19500,train
26759,train
14943,train
11624,train
2745,train
6012,train
14814,train
18839,train
5134,train
27255,train
25468,train
15717,train
27615,train
21923,train
24460,train
22217,train
19722,train
13917,train
431,train
4242,train
13556,train
8490,train
28856,train
27197,train
23727,train
17224,train
16147,train
30301,train
9737,train
6603,train
29380,train
6816,train
26300,train
21767,train
29017,train
4570,train
18296,train
19691,train
28643,train
30753,train
6121,train
20874,train
5384,train
17270,train
3264,train
19944,train
28904,train
25894,train
25328,train
5505,train
1378,train
23034,train
3471,train
18480,train
24214,train
30138,train
8048,train
29998,train
22876,train
28988,train
12679,train
19201,train
27601,train
22368,train
4520,train
9627,train
13696,train
26960,train
11567,train
5187,train
16534,train
22391,train
16115,train
30173,train
5513,train
21079,train
12537,train
29819,train
2773,train
15171,train
10723,train
23468,train
16983,train
16032,train
14533,train
409,train
20780,train
17522,train
29242,train
13907,train
1960,train
10398,train
18684,train
3109,train
14446,train
25867,train
17148,train
20891,train
12622,train
17769,train
8256,train
19771,train
18903,train
13001,train
11841,train
3695,train
1110,train
5571,train
15202,train
18843,train
20843,train
6934,train
26287,train
14060,train
26726,train
18915,train
11449,train
1024,train
29872,train
14071,train
763,train
21775,train
2993,train
17560,train
18268,train
18368,train
15839,train
15830,train
11072,train
9914,train
16810,train
9537,train
22074,train
23415,train
23778,train
18449,train
16942,train
25920,train
30365,train
7376,train
3595,train
20630,train
2961,train
29390,train
19151,train
1407,train
6217,train
9686,train
622,train
23027,train
28319,train
25633,train
8152,train
2541,train
12038,train
9654,train
25529,train
29878,train
30426,train
20335,train
14306,train
22106,train
24907,train
24906,train
16388,train
30342,train
11249,train
16209,train
4680,train
15493,train
27452,train
30115,train
25733,train
14470,train
9200,train
19549,train
267,train
10125,train
25064,train
17711,train
21023,train
14749,train
6503,train
18971,train
20776,train
26031,train
7108,train
22812,train
18270,train
23735,train
20072,train
24867,train
12052,train
14045,train
27157,train
3387,train
3902,train
5006,train
9888,train
2309,train
29661,train
18354,train
28188,train
16368,train
6187,train
15632,train
6677,train
21780,train
8294,train
1556,train
26643,train
17084,train
16001,train
10204,train
30766,train
5930,train
24555,train
4707,train
25634,train
12580,train
14478,train
10463,train
16225,train
10830,train
29906,train
23073,train
27738,train
19962,train
19307,train
16393,train
1123,train
12435,train
21408,train
8881,train
15354,train
26317,train
11194,train
21131,train
16130,train
18840,train
5115,train
17968,train
10243,train
27621,train
21427,train
19729,train
29176,train
12054,train
28976,train
12385,train
3509,train
7894,train
28155,train
23934,train
4228,train
25779,train
30052,train
27094,train
25383,train
7489,train
29459,train
748,train
15273,train
20882,train
14046,train
3848,train
29752,train
30321,train
24769,train
18758,train
12441,train
18493,train
26806,train
22700,train
2142,train
20895,train
18908,train
6664,train
23265,train
21051,train
844,train
23610,train
17310,train
8871,train
24546,train
10736,train
27649,train
26236,train
25450,train
2790,train
22871,train
18478,train
3255,train
24314,train
23489,train
2237,train
13079,train
4846,train
30145,train
13100,train
10422,train
17764,train
244,train
3299,train
9620,train
6613,train
14764,train
22429,train
15253,train
22352,train
1331,train
13478,train
25014,train
11817,train
6036,train
20254,train
7303,train
18022,train
24662,train
8219,train
14769,train
25504,train
25482,train
937,train
21605,train
22645,train
1922,train
27225,train
25776,train
6949,train
25976,train
4038,train
17658,train
24991,train
2519,train
30074,train
19654,train
21947,train
1079,train
19517,train
12253,train
12258,train
6355,train
8816,train
5149,train
15549,train
20211,train
27890,train
3799,train
20297,train
27331,train
18132,train
17542,train
25084,train
6760,train
30661,train
8427,train
517,train
30591,train
3704,train
1669,train
27681,train
30703,train
23700,train
18910,train
22390,train
16395,train
12515,train
7092,train
9972,train
3470,train
12336,train
24381,train
28028,train
14698,train
28020,train
217,train
28435,train
10352,train
15216,train
16430,train
3674,train
19958,train
15768,train
19803,train
12332,train
24675,train
22081,train
13801,train
26905,train
24024,train
23603,train
13156,train
14579,train
27744,train
19406,train
27472,train
26441,train
11479,train
5426,train
11092,train
10880,train
2586,train
2281,train
8744,train
13470,train
30293,train
11321,train
21386,train
18924,train
15382,train
18666,train
26272,train
11030,train
18424,train
2648,train
6912,train
14266,train
16698,train
24653,train
8207,train
25914,train
29802,train
27470,train
4933,train
1332,train
9062,train
20219,train
3257,train
19985,train
11189,train
28876,train
7933,train
20880,train
11276,train
26163,train
8787,train
9404,train
3580,train
2389,train
12979,train
4422,train
14653,train
506,train
26854,train
19835,train
24483,train
27069,train
4449,train
13713,train
17294,train
7468,train
539,train
10891,train
27984,train
4914,train
22465,train
21217,train
11898,train
23833,train
22483,train
16682,train
28185,train
17040,train
5706,train
28231,train
27035,train
27841,train
4144,train
18107,train
29692,train
27945,train
23719,train
20202,train
3746,train
10541,train
5763,train
27864,train
30217,train
27080,train
4640,train
9977,train
12112,train
7347,train
8945,train
5184,train
10371,train
18099,train
18997,train
3770,train
5800,train
22138,train
17931,train
9774,train
17426,train
2562,train
4373,train
25883,train
12544,train
28690,train
28598,train
11126,train
13107,train
11748,train
6050,train
6356,train
12163,train
5285,train
16541,train
17611,train
19587,train
6673,train
20558,train
14322,train
4901,train
10000,train
18439,train
6919,train
28345,train
580,train
1636,train
4323,train
15843,train
9677,train
27947,train
1792,train
21788,train
26781,train
10091,train
14429,train
7699,train
12224,train
25291,train
6400,train
23877,train
26100,train
17442,train
5261,train
23083,train
17037,train
26872,train
16095,train
13291,train
14223,train
5462,train
20498,train
25480,train
25576,train
8122,train
706,train
24312,train
5839,train
15889,train
29012,train
15945,train
16824,train
14369,train
11819,train
4345,train
8644,train
1838,train
24842,train
24869,train
21958,train
8257,train
12245,train
23648,train
12170,train
6779,train
1114,train
6745,train
11118,train
21896,train
16234,train
22036,train
3493,train
19052,train
