patient_id,split
10446,train
366,train
7336,train
16539,train
2493,train
18972,train
17376,train
25355,train
6081,train
17186,train
13769,train
24157,train
9035,train
27414,train
17089,train
19599,train
28061,train
24530,train
10357,train
8737,train
8404,train
1682,train
6951,train
26,train
14383,train
11690,train
27595,train
7647,train
12965,train
16053,train
6311,train
23574,train
18653,train
589,train
5912,train
6538,train
1083,train
1911,train
666,train
8110,train
12556,train
29211,train
30543,train
21399,train
27917,train
26675,train
9861,train
26106,train
14172,train
23643,train
875,train
13583,train
2863,train
20288,train
7386,train
23130,train
7188,train
3295,train
20435,train
9516,train
12087,train
22030,train
6680,train
21586,train
20660,train
29237,train
24463,train
11105,train
26443,train
30355,train
21355,train
15141,train
1789,train
28128,train
17226,train
21821,train
440,train
14846,train
10013,train
5758,train
6308,train
1330,train
9599,train
11108,train
27752,train
11173,train
3646,train
8049,train
18949,train
29969,train
2334,train
12507,train
15406,train
17339,train
19150,train
11087,train
17969,train
21563,train
2795,train
10408,train
19329,train
18784,train
5382,train
10137,train
13143,train
8029,train
9153,train
655,train
7591,train
1258,train
18486,train
17612,train
30780,train
12957,train
4806,train
28848,train
4237,train
19789,train
3237,train
15148,train
19548,train
2898,train
14758,train
23083,train
3924,train
8284,train
16888,train
30559,train
21080,train
15469,train
2668,train
28708,train
2051,train
3197,train
27978,train
25637,train
22994,train
30058,train
4157,train
18277,train
13921,train
29269,train
13879,train
26411,train
21016,train
19121,train
27495,train
17819,train
17844,train
7596,train
2879,train
30433,train
19982,train
26829,train
10653,train
3948,train
7599,train
7503,train
19871,train
1739,train
945,train
27754,train
8014,train
14455,train
7669,train
28082,train
4970,train
8527,train
16589,train
7441,train
2788,train
13045,train
4737,train
6306,train
4864,train
30440,train
22905,train
23518,train
6291,train
6508,train
21985,train
175,train
8240,train
28720,train
22063,train
1512,train
5958,train
27838,train
9287,train
21183,train
15721,train
8973,train
25394,train
10782,train
18394,train
9341,train
28886,train
10727,train
18219,train
13095,train
11511,train
17402,train
15640,train
23061,train
2247,train
24725,train
24461,train
13164,train
10589,train
18887,train
25310,train
2575,train
6756,train
6885,train
8956,train
28859,train
30016,train
291,train
555,train
21348,train
30031,train
26487,train
484,train
7702,train
2158,train
17271,train
17575,train
16360,train
14768,train
23292,train
16761,train
4086,train
9423,train
22149,train
21642,train
9392,train
27152,train
887,train
3510,train
3062,train
5426,train
29285,train
11906,train
1329,train
18081,train
14706,train
29692,train
19589,train
22551,train
13490,train
1554,train
6567,train
4838,train
4294,train
836,train
18494,train
5225,train
1025,train
20974,train
6961,train
28892,train
408,train
24513,train
20501,train
30648,train
29780,train
16185,train
7173,train
22283,train
14597,train
15518,train
19273,train
16155,train
6878,train
15718,train
913,train
17669,train
23799,train
19753,train
3262,train
30711,train
29843,train
28190,train
20454,train
28157,train
3956,train
16304,train
6591,train
10687,train
28266,train
29253,train
1853,train
29861,train
13391,train
21775,train
26482,train
29064,train
2172,train
27945,train
4466,train
23676,train
23956,train
2728,train
25179,train
11483,train
19503,train
30445,train
2454,train
23790,train
14610,train
10501,train
7298,train
4316,train
12996,train
9988,train
13835,train
24030,train
26349,train
24233,train
16790,train
27092,train
3438,train
28471,train
25997,train
21869,train
24082,train
19606,train
5340,train
19899,train
4535,train
24349,train
9136,train
6884,train
24914,train
19822,train
11116,train
5183,train
26083,train
29301,train
12239,train
8723,train
8409,train
3456,train
29410,train
16929,train
14535,train
16399,train
12217,train
10310,train
18128,train
4174,train
28840,train
22005,train
705,train
8538,train
27215,train
5519,train
23814,train
24892,train
29891,train
7895,train
26909,train
5809,train
22572,train
21741,train
2175,train
10466,train
28849,train
6443,train
9306,train
26095,train
18399,train
13906,train
8971,train
11901,train
10433,train
9042,train
5386,train
22911,train
9265,train
17275,train
13894,train
7695,train
30114,train
30309,train
15895,train
29798,train
19196,train
24334,train
18383,train
6226,train
24129,train
12483,train
16128,train
4960,train
1906,train
24901,train
20873,train
24750,train
24152,train
15855,train
14226,train
597,train
14872,train
26000,train
220,train
26273,train
15717,train
20779,train
26940,train
28070,train
25517,train
18766,train
19077,train
21612,train
22428,train
19074,train
26400,train
17587,train
27694,train
4093,train
16393,train
12038,train
6978,train
11649,train
15360,train
16908,train
2919,train
2553,train
10172,train
12805,train
29775,train
27910,train
7408,train
11385,train
17148,train
27695,train
21303,train
28956,train
9496,train
7257,train
13119,train
8908,train
1596,train
7177,train
17338,train
2268,train
27226,train
20459,train
13822,train
7593,train
28290,train
29942,train
19339,train
10400,train
5576,train
5291,train
20931,train
17779,train
15541,train
23575,train
10511,train
5514,train
18267,train
23711,train
25134,train
3553,train
29126,train
30701,train
438,train
30010,train
13449,train
8270,train
10544,train
21462,train
17300,train
17342,train
12611,train
13373,train
15810,train
3038,train
29786,train
9095,train
13354,train
24692,train
3921,train
27300,train
7111,train
6017,train
5305,train
16101,train
9670,train
22463,train
4254,train
28774,train
29801,train
3935,train
23718,train
23409,train
7791,train
18119,train
7774,train
19320,train
25942,train
8650,train
15337,train
22416,train
11145,train
4934,train
24511,train
28729,train
23772,train
27279,train
1118,train
14934,train
5622,train
5280,train
21914,train
28109,train
30205,train
8994,train
20379,train
12720,train
18500,train
28775,train
26629,train
18232,train
22830,train
11363,train
8518,train
30583,train
25103,train
8966,train
25361,train
28086,train
24455,train
8266,train
11139,train
18681,train
17007,train
24787,train
29147,train
29565,train
13421,train
24588,train
19616,train
6240,train
23049,train
20152,train
16258,train
81,train
30594,train
5108,train
26179,train
6633,train
24018,train
23963,train
24031,train
25584,train
14778,train
18909,train
8911,train
26499,train
28989,train
27597,train
19628,train
30117,train
28274,train
2934,train
1407,train
23835,train
2204,train
8359,train
22619,train
17588,train
8184,train
24388,train
10001,train
3494,train
12761,train
7905,train
19305,train
16271,train
12144,train
1925,train
11736,train
6151,train
24891,train
22804,train
425,train
14591,train
10132,train
14192,train
22268,train
8278,train
25604,train
9720,train
5235,train
25268,train
21685,train
7918,train
10751,train
3343,train
18832,train
16309,train
9052,train
9620,train
19008,train
19844,train
17295,train
11094,train
3067,train
7723,train
18261,train
13897,train
26362,train
25194,train
4675,train
19160,train
6234,train
10938,train
9464,train
2717,train
9592,train
6561,train
19612,train
7778,train
19180,train
13084,train
14704,train
8672,train
23046,train
1854,train
13092,train
15981,train
16502,train
13958,train
26103,train
23127,train
9101,train
18057,train
371,train
7538,train
26307,train
23381,train
10171,train
12910,train
980,train
10818,train
6818,train
27827,train
16838,train
28829,train
27893,train
17090,train
6171,train
8556,train
25713,train
4990,train
29244,train
27570,train
13784,train
24368,train
12909,train
19744,train
11118,train
26986,train
12260,train
14457,train
26321,train
