true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.005,0.005,1654092508,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,1326756379,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,285459825,False,111,0.023981366407219106,0.0,0.15366674621475113,False
0.005,0.005,2109880073,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,896696089,False,38,0.008150393073847944,0.0,0.13783577288137996,False
0.005,0.005,1028097800,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,580357266,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,578618665,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,664664193,False,358,0.07753566597344846,0.0,0.2072210457809805,False
0.005,0.005,668314811,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,1736339509,False,111,0.024107041665182835,0.0,0.15379242147271488,False
0.005,0.005,666769353,False,241,0.05218272253457917,0.0,0.1818681023421112,False
0.005,0.005,381879533,False,135,0.02919608202073933,0.0,0.15888146182827137,False
0.005,0.005,1549177014,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,245600694,False,160,0.03473811858877911,0.0,0.16442349839631115,False
0.005,0.005,761817948,False,94,0.020318528784206567,0.0,0.1500039085917386,False
0.005,0.005,2088633929,False,270,0.0584853239570809,0.0,0.18817070376461292,False
0.005,0.005,1475124026,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,1629185528,False,8,0.0017230009373128362,0.0,0.13140838074484487,False
0.005,0.005,6174904,False,62,0.013385132687537785,0.0,0.1430705124950698,False
0.005,0.005,370985271,False,142,0.03071980255435366,0.0,0.1604051823618857,False
0.005,0.005,707609125,False,79,0.01701183943472055,0.0,0.14669721924225257,False
0.005,0.005,1537625299,False,199,0.04317900772224252,0.0,0.17286438752977457,False
0.005,0.005,183521984,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,1440485860,False,99,0.021450411698742726,0.0,0.15113579150627476,False
0.005,0.005,686707350,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,1176354385,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,350452343,False,0,0.0,0.0,0.12968537980753203,False
0.005,0.005,765909569,False,237,0.051381546174612554,0.0,0.18106692598214458,False
0.005,0.005,372147725,False,359,0.07759795883237343,0.0,0.20728333863990545,False
0.005,0.01,687020257,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1372499450,False,18,0.0039743032298135,0.0,0.06881699313357952,False
0.005,0.01,490652952,False,73,0.01576967826452895,0.0,0.08061236816829496,False
0.005,0.01,348420154,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,329449727,False,18,0.0038058467261124435,0.0,0.06864853662987846,False
0.005,0.01,693836564,False,321,0.06957439899169238,0.004731709087926361,0.1344170888954584,False
0.005,0.01,754644410,False,113,0.024367882198862864,0.0,0.08921057210262888,False
0.005,0.01,315606558,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1811221251,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,527852714,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,258682600,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1829882819,False,352,0.07624337445301145,0.011400684549245435,0.14108606435677745,False
0.005,0.01,502814366,False,123,0.026550846996542744,0.0,0.09139353690030876,False
0.005,0.01,1485075493,False,35,0.007587424842753567,0.0,0.07243011474651959,False
0.005,0.01,1930216446,False,24,0.005269760630567963,0.0,0.07011245053433397,False
0.005,0.01,1337047579,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1271179453,False,303,0.06552118205580897,0.0006784921520429504,0.130363871959575,False
0.005,0.01,1938909715,False,36,0.007735386214706257,0.0,0.07257807611847228,False
0.005,0.01,13848949,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,511284911,False,256,0.05531874394481822,0.0,0.12016143384858424,False
0.005,0.01,654424809,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,845054143,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1178680097,False,84,0.018264810840701053,0.0,0.08310750074446707,False
0.005,0.01,983850800,False,133,0.028851613724439593,0.0,0.0936943036282056,False
0.005,0.01,1731639905,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,1175668072,False,306,0.06625871327516988,0.0014160233714038684,0.1311014031789359,False
0.005,0.01,1399290082,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,347767238,False,40,0.008624834589274138,0.0,0.07346752449304016,False
0.005,0.01,1904572606,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.01,264000480,False,0,0.0,0.0,0.06484268990376602,False
0.005,0.02,146333452,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,1721086429,False,98,0.02113650716702356,0.0,0.05355785211890657,False
0.005,0.02,904205052,False,82,0.017769561964559744,0.0,0.05019090691644275,False
0.005,0.02,1925046827,False,80,0.017253566814908975,0.0,0.04967491176679198,True
0.005,0.02,1724449333,False,77,0.01668232898887379,0.0,0.0491036739407568,True
0.005,0.02,90891088,False,16,0.0035248051224188374,0.0,0.035946150074301846,True
0.005,0.02,1658125731,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,194378193,False,14,0.0030101820206457743,0.0,0.035431526972528785,True
0.005,0.02,1893865083,False,34,0.0073918689141187505,0.0,0.039813213866001756,True
0.005,0.02,182832326,False,97,0.020941648043875688,0.0,0.053362992995758696,False
0.005,0.02,1996492507,False,22,0.004666460918524463,0.0,0.03708780587040747,True
0.005,0.02,38591318,False,77,0.016604053762858666,0.0,0.04902539871474167,True
0.005,0.02,1728158894,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,227935796,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,379665670,False,52,0.011336574609275578,0.0,0.043757919561158584,True
0.005,0.02,54175629,False,76,0.01640385470028521,0.0,0.04882519965216822,True
0.005,0.02,2103335869,False,32,0.006964950858518253,0.0,0.03938629581040126,True
0.005,0.02,1233109544,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,1442363762,False,60,0.01289366400178323,0.0,0.04531500895366624,True
0.005,0.02,902613986,False,39,0.008432864830287311,0.0,0.04085420978217032,True
0.005,0.02,989678179,False,133,0.02875730294473666,0.0,0.06117864789661967,False
0.005,0.02,460448058,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,546183568,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.02,208922109,False,159,0.03445007282124145,0.0020287278693584404,0.06687141777312446,False
0.005,0.02,1545858521,False,24,0.00530288374559602,0.0,0.03772422869747903,True
0.005,0.02,1161670544,False,45,0.009811802602794878,0.0,0.042233147554677886,True
0.005,0.02,439443059,False,80,0.017283113456311717,0.0,0.04970445840819472,True
0.005,0.02,960287653,False,16,0.003399956609910919,0.0,0.035821301561793924,True
0.005,0.02,1892819150,False,29,0.00621660798680146,0.0,0.03863795293868447,True
0.005,0.02,1338657537,False,0,0.0,0.0,0.03242134495188301,True
0.005,0.05,1141177383,False,24,0.005263187764935968,0.0,0.01823172574568917,True
0.005,0.05,1981302121,False,39,0.008498457808558737,0.0,0.021466995789311938,True
0.005,0.05,1592033407,False,29,0.006266652686516943,0.0,0.019235190667270148,True
0.005,0.05,481717224,False,34,0.007392641312394675,0.0,0.020361179293147878,True
0.005,0.05,1575140000,False,11,0.0024726732077534914,0.0,0.015441211188506694,True
0.005,0.05,1708944434,False,19,0.0040351304499062325,0.0,0.017003668430659435,True
0.005,0.05,2118531584,False,17,0.003721440238843103,0.0,0.016689978219596308,True
0.005,0.05,1112040217,False,47,0.010251397148140499,0.0,0.023219935128893702,True
0.005,0.05,484789927,False,38,0.008266464638801136,0.0,0.02123500261955434,True
0.005,0.05,1997583803,False,42,0.009076583436334213,0.0,0.022045121417087414,True
0.005,0.05,72580726,False,58,0.01248870349197845,0.0,0.02545724147273165,True
0.005,0.05,400789650,False,11,0.0023723415854043917,0.0,0.015340879566157595,True
0.005,0.05,206060677,False,18,0.003802481377706544,0.0,0.016771019358459746,True
0.005,0.05,955816546,False,0,0.0,0.0,0.012968537980753203,True
0.005,0.05,1581701228,False,34,0.007303030618872048,0.0,0.02027156859962525,True
0.005,0.05,1220722824,False,0,0.0,0.0,0.012968537980753203,True
0.005,0.05,1623099840,False,34,0.0074207475896268665,0.0,0.02038928557038007,True
